combo_dir,prefix,scenario,iteration,leader_killed,downtime_s,failed_queries,status,session_folder
01-libpq-multihost,prb-01,hard_stop,1,node3,1.2,8,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_kill,2,node1,29.0,146,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,switchover,3,node2,1.2,8,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_stop,4,node1,1.1,8,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_kill,5,node2,20.6,99,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,switchover,6,node1,1.3,9,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_stop,7,node2,3.2,23,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_kill,8,node1,26.7,138,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,switchover,9,node2,1.1,8,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_stop,10,node1,1.3,9,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_kill,11,node2,21.1,100,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,switchover,12,node3,1.3,9,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_stop,13,node1,3.2,23,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,hard_kill,14,node3,21.2,103,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
01-libpq-multihost,prb-01,switchover,15,node1,1.1,8,SUCCESS,runner/results/01-libpq-multihost/2026-04-29_220652
02-consul-dns,prb-02,hard_stop,1,node2,2.2,21,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_kill,2,node3,28.4,124,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,switchover,3,node1,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_stop,4,node2,4.7,43,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_kill,5,node1,25.0,92,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,switchover,6,node3,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_stop,7,node1,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_kill,8,node2,28.3,123,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,switchover,9,node3,2.2,21,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_stop,10,node1,2.1,20,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
02-consul-dns,prb-02,hard_kill,11,node2,28.9,128,SUCCESS,runner/results/02-consul-dns/2026-04-29_224420
